Name,Type,Coords,Image,Description,Hours,latitude,longitude,Short,Ev,floorplans
Starbucks,Dinning,"33.97588002133932, -117.32010358255275",https://live.staticflickr.com/65535/50813591023_6740292b42_b.jpg,,"Monday-Friday
7:00 AM - 11:00 PM

Saturday
8:00 AM - 9:00 PM

Sunday
8:00 AM - 9:00 PM

CHECK UCR WEBSITE FOR ACCURATE HOURS",33.97588002,-117.3201036,,,
Glasgow Restaurant,Dinning,"33.979169257661894, -117.32451504894244",https://live.staticflickr.com/65535/52322665758_325980bc52_b.jpg,Residential Dinning,"Monday-Friday
Breakfast (7:30 AM - 10:30 AM) 
Lunch  (10:30 PM - 2:30 PM) 
Dinner (5:00 PM - 9:00 PM)

Saturday
Closed

Sunday
Brunch (10:00 AM - 2:30 PM) 
Lunch  (Closed) 
Dinner (5:00 PM - 9:00 PM)

CHECK UCR WEBSITE FOR ACCURATE HOURS",33.97916926,-117.324515,,,
Lothian Restaurant,Dinning,"33.97580618165497, -117.32248710853095",https://live.staticflickr.com/65535/50814330226_3821a02c00_b.jpg,Residential Dinning,"Monday-Friday
Breakfast (Closed) 
Lunch  (11:00 AM - 2:30 PM) 
Dinner (5:00 PM - 10:00 PM)

Saturday
Closed

Sunday
Closed

CHECK UCR WEBSITE FOR ACCURATE HOURS",33.97580618,-117.3224871,,,
The Barn,Dinning,"33.97227153218132, -117.33053847451447",https://live.staticflickr.com/65535/50815098636_2c44f0b68e_b.jpg,,"Patio Bar
12:00 PM - 7:00 PM

Indoor Dining/Stable
11:00 AM - 7:00 PM

Saturday
Closed

Sunday
Closed

CHECK UCR WEBSITE FOR ACCURATE HOURS",33.97227153,-117.3305385,,,
Scotty’s Market in HUB,Dinning,"33.97459520265385, -117.32870684864041",https://live.staticflickr.com/65535/50814442322_f46138b457_o.jpg,,"Monday-Thursday
7:00 AM - 8:00 PM

Friday
7:00 AM - 7:00 PM

Saturday
Closed

Sunday
Closed

CHECK UCR WEBSITE FOR ACCURATE HOURS",33.9745952,-117.3287068,,,
Glasgow,Building,"33.97799917213968, -117.3245138796389",https://live.staticflickr.com/65535/51145778489_e049226f88_b.jpg,,,33.97799917,-117.3245139,,,
Olmsted Hall 2,Building,"33.971557825117024, -117.32871365507008",https://live.staticflickr.com/65535/50814433432_f3e666d72a_b.jpg,"Rooms

1300s (1st floor)
1400s (1st floor)
400s (outside)
2300s (2nd floor)
3300s (3rd floor)
A0300s (Basement)",,33.97155783,-117.3287137,,,
Scotty’s School of Medicine,Dinning,"33.973793504311416,-117.32443050702041",,,"Monday-Thursday
8:00 AM - 5:00 PM

Friday
8:00 AM - 5:00 PM

Saturday&Sunday
Closed

CHECK UCR WEBSITE FOR ACCURATE HOURS",33.9737935,-117.3244305,,,
School of Business Building,Building,"33.969444, -117.325230",https://cms.concept3d.com/map/lib/image-cache/i.php?mapId=2106&image=2106/Screen_Shot_2024-05-02_at_11.20.34_AM_6633d9b97cada.png&w=900&h=508&r=1,,,33.969444,-117.32523,SBB,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
,,,,,,33.97489815,-117.3268339,,,
