Name,Type,Coords,Image,Description,Hours,latitude,longitude,Short,Ev,floorplans
Flagpole,Building,"33.97396438677288, -117.33173575765942",,,,33.97396439,-117.3317358,,,
Fleet Services Dept.,Building,"33.97994849842515, -117.32292099791745",,,,33.9799485,-117.322921,,,
Geology Building,Building,"33.97441401126781, -117.32625396387422",https://live.staticflickr.com/65535/50813582063_8bf0b0cc2d_o.jpg,,,33.97441401,-117.326254,GEOL,,
Glen Mor Residence Hall,Building,"33.9763064486679, -117.32010685660968",https://live.staticflickr.com/65535/50814433567_9994d2acb7_b.jpg,,,33.97630645,-117.3201069,GMHA,,
Genomics,Building,"33.97153238814853, -117.32620173608886",https://live.staticflickr.com/65535/50813582733_23080604ee_o.jpg,,,33.97153239,-117.3262017,GENOM,,
Headhouse (Greenhouses),Building,"33.969667318977095, -117.32468142156404",,,,33.96966732,-117.3246814,HHBG,,
Student Health Services,Building,"33.9790693, -117.3234231",https://cms.concept3d.com/map/lib/image-cache/i.php?mapId=2106&image=2106/2023-09-18_Student_Health_013_66342398afe56.JPG&w=900&h=508&r=1,,,33.9790693,-117.3234231,HSERV,,
Herbarium,Building,"33.970287231769326, -117.32395791356454",,,,33.97028723,-117.3239579,HERB,,
Hinderaker Hall,Building,"33.973536924541456, -117.3315760608036",https://live.staticflickr.com/65535/50814330341_9cd80c7880_b.jpg,,,33.97353692,-117.3315761,HINHL,,
Housing Administration,Building,"33.97820131695984, -117.33136720190782",https://live.staticflickr.com/65535/50813582003_1949c042db_o.jpg,,,33.97820132,-117.3313672,HSAD,,
HUB (Highlander Union Building),Building,"33.97472083165987, -117.32869450312708",https://live.staticflickr.com/65535/51818911394_031045c4a4_o.png,,,33.97472083,-117.3286945,HUB,,
Humanities,Building,"33.972696871851205, -117.33132151412512",,,,33.97269687,-117.3313215,HMNSS,,https://utils.gohighlander.app/map/floorplans/hmnss.webp
Humanities 400/University Theatre,Building,"33.971599011979166,-117.32851450222854",https://live.staticflickr.com/65535/50814339291_20cda264a5_b.jpg,,,33.97159901,-117.3285145,HUMN 400,,
Humanities & Social Sciences,Building,"33.97291462453745, -117.33081993135585",https://live.staticflickr.com/65535/50814330261_a1d8a4d60a_o.jpg,,,33.97291462,-117.3308199,HMNSS,,
Humanities 1500,Building,"33.97309706107271, -117.33076771356471",https://live.staticflickr.com/65535/50814330261_a1d8a4d60a_o.jpg,,,33.97309706,-117.3307677,HUMN 1500,,
Human Resources,Building,,,,,33.97489815,-117.3268339,,,
International Village Housing,Building,"33.97294913620225, -117.33694489046468",https://live.staticflickr.com/65535/50813581948_4ea8e2ae1d_o.jpg,,,33.97294914,-117.3369449,INTVL,,
Keen Hall,Building,"33.972816003045054, -117.32508580546335",,,,33.972816,-117.3250858,,,
KUCR Radio,Building,"33.97948009314303, -117.32517009907656",,,,33.97948009,-117.3251701,,,
Life Sciences Building,Building,"33.97237077335236, -117.3265929018341",,,,33.97237077,-117.3265929,LFSC,,https://utils.gohighlander.app/map/floorplans/lifesciences.webp
Life Sciences 1500,Building,"33.973109745710026, -117.32691396228405",,,,33.97310975,-117.326914,LFSC 1500,,https://utils.gohighlander.app/map/floorplans/lifesci1500.webp
Lothian Residence Hall,Building,"33.97579667028721, -117.32248751519235",https://live.staticflickr.com/65535/50814330226_3821a02c00_b.jpg,,,33.97579667,-117.3224875,LOTH,,
Mail Room,Building,"33.98079845229049, -117.32373916974356",,,,33.98079845,-117.3237392,,,
Materials Science & Engineering,Building,"33.97620835803847, -117.32824251868023",https://live.staticflickr.com/65535/50814434132_39cff14ea0_o.jpg,,,33.97620836,-117.3282425,MSE,,https://utils.gohighlander.app/map/floorplans/mse.webp
Multidisciplinary Research Building 1 (MRB 1),Building,"33.976900571406375, -117.32809678650871",https://live.staticflickr.com/65535/50813925188_1910046d2f_o.jpg,,,33.97690057,-117.3280968,MRB,,
North District A & B,Building,"33.97945658667398, -117.32665943951223",https://live.staticflickr.com/65535/51405203630_50825ebfeb_b.jpg,,,33.97945659,-117.3266594,,,https://utils.gohighlander.app/map/floorplans/northdistrict.webp
Oban Apartments,Building,"33.97872425920123, -117.33263298504016",https://live.staticflickr.com/65535/50814330216_215cf82516_b.jpg,,,33.97872426,-117.332633,OBANO,,
Olmsted Hall 1,Building,"33.971301895126615, -117.32791754003702",https://live.staticflickr.com/65535/50814433432_f3e666d72a_b.jpg,"Rooms

1100s (1st floor)
1200s (outside)
2100s (2nd floor)
A0100s (Basement)",,33.9713019,-117.3279175,OLMH,,https://utils.gohighlander.app/map/floorplans/olmsted.webp
Orbach Library (Science Library),Building,"33.97450792556541, -117.32437607121261",https://live.staticflickr.com/65535/50813581863_bb1872aed4_o.jpg,,"General Hours:

Monday - Thursday: 7:30 a.m. – 12 a.m.
Friday: 7:30 a.m. – 6 p.m.
Saturday: 9 a.m. – 5 p.m.
Sunday: 1 p.m. – 9 p.m.",33.97450793,-117.3243761,ORBLI,,
Parking Services,Building,"33.97948066172021, -117.32209966682538",https://live.staticflickr.com/65535/50813581723_396dd0cde5_o.jpg,,,33.97948066,-117.3220997,PARKS,,
Pentland Hills Residence Hall,Building,"33.97784608858001, -117.32237767995885",https://live.staticflickr.com/65535/50813581848_06bfa51e53_b.jpg,,,33.97784609,-117.3223777,PENTQ,,
Department of Physics and Astronomy,Building,"33.97450908721065, -117.32541173356168",,,,33.97450909,-117.3254117,PHY,,https://utils.gohighlander.app/map/floorplans/physics.webp
Physics 2000,Building,"33.974089991161456, -117.32484473702726",https://live.staticflickr.com/65535/50814330166_3e7374cb8b_o.jpg,,,33.97408999,-117.3248447,PHY2K,,https://utils.gohighlander.app/map/floorplans/physics.webp
Pierce Hall,Building,"33.97405410801046, -117.32740195634089",https://live.staticflickr.com/65535/50813581833_06b8c2f46a_o.jpg,,,33.97405411,-117.327402,PRCE,,https://utils.gohighlander.app/map/floorplans/piercefloormap.webp
Plant Research 1,Building,"33.97204478194956, -117.32325393783239",https://live.staticflickr.com/65535/51404496253_3245192e8f_b.jpg,,,33.97204478,-117.3232539,,,
Plaza Apts,Building,"33.97836215073212, -117.33382881596921",https://live.staticflickr.com/65535/50814330161_4e40b91729_b.jpg,,,33.97836215,-117.3338288,UPLAZ,,
UCR Police Department,Building,"33.97895805534183, -117.33095055497878",https://live.staticflickr.com/65535/50813582608_2b6c1b282f_b.jpg,,,33.97895806,-117.3309506,POLCE,,
Psychology Building,Building,"33.97067490842101, -117.32754172732902",https://live.staticflickr.com/65535/50814433367_6ea56dc39f_o.jpg,,,33.97067491,-117.3275417,PSYCH,,
Purchasing Dept.,Building,"33.9803528960616, -117.32362409726042",,,,33.9803529,-117.3236241,,,
R Garden,Building,"33.97123352693859, -117.33475526242559",,,,33.97123353,-117.3347553,,,
Tomas Rivera Library,Building,"33.972639768272145, -117.32796369150796",https://live.staticflickr.com/65535/50814433212_0acc124a22_b.jpg,,"General Hours:

Monday - Thursday: 7:30 a.m. – 12 a.m.
Friday: 7:30 a.m. – 6 p.m.
Saturday: 9 a.m. – 5 p.m.
Sunday: 1 p.m. – 9 p.m.",33.97263977,-117.3279637,RIVL,,
SOM Education Building 1,Building,"33.97379231647555, -117.32399064424843",https://live.staticflickr.com/65535/50814330721_386caffaa8_b.jpg,,,33.97379232,-117.3239906,SOMED,,
,Building,"33.97054175483176, -117.32549845770143",https://live.staticflickr.com/65535/50814330721_386caffaa8_b.jpg,,,33.97054175,-117.3254985,,,
Student First Credit Union,Building,"33.97748649672321, -117.3383948912393",,,,33.9774865,-117.3383949,,,
Skye Hall,Building,"33.975239306855336, -117.32888318580108",https://live.staticflickr.com/65535/50813582588_b312dc90fe_b.jpg,,,33.97523931,-117.3288832,SKYE,,https://utils.gohighlander.app/map/floorplans/skye.webp
Science Laboratories 1,Building,"33.97392970104085, -117.32624965588096",,,,33.9739297,-117.3262497,,,
Spieth Hall,Building,"33.972820603366415, -117.32661170863315",https://live.staticflickr.com/65535/50813581808_241cc2200a_b.jpg,,,33.9728206,-117.3266117,SPTH,,https://utils.gohighlander.app/map/floorplans/spieth.webp
Sproul Hall,Building,"33.9727666972629, -117.32976088278475",https://live.staticflickr.com/65535/50814433977_9f3513eab1_b.jpg,,,33.9727667,-117.3297609,SPR,,https://utils.gohighlander.app/map/floorplans/sproul.webp
