Name,Type,Coords,latitude,longitude,Short,Structure
Mail Room,Building,"33.98079845229049, -117.32373916974356",33.98079845,-117.3237392,,Classroom
Materials Science & Engineering,Building,"33.97620835803847, -117.32824251868023",33.97620836,-117.3282425,MSE,Classroom
Multidisciplinary Research Building 1 (MRB 1),Building,"33.976900571406375, -117.32809678650871",33.97690057,-117.3280968,MRB,Classroom
North District A & B,Building,"33.97945658667398, -117.32665943951223",33.97945659,-117.3266594,,Classroom
Oban Apartments,Building,"33.97872425920123, -117.33263298504016",33.97872426,-117.332633,OBANO,Classroom
Olmsted Hall 1,Building,"33.971301895126615, -117.32791754003702",33.9713019,-117.3279175,OLMH,Classroom
Orbach Library (Science Library),Building,"33.97450792556541, -117.32437607121261",33.97450793,-117.3243761,ORBLI,Classroom
Parking Services,Building,"33.97948066172021, -117.32209966682538",33.97948066,-117.3220997,PARKS,Classroom
Pentland Hills Residence Hall,Building,"33.97784608858001, -117.32237767995885",33.97784609,-117.3223777,PENTQ,Classroom
Department of Physics and Astronomy,Building,"33.97450908721065, -117.32541173356168",33.97450909,-117.3254117,PHY,Classroom
Physics 2000,Building,"33.974089991161456, -117.32484473702726",33.97408999,-117.3248447,PHY2K,Classroom
Pierce Hall,Building,"33.97405410801046, -117.32740195634089",33.97405411,-117.327402,PRCE,Classroom
Plant Research 1,Building,"33.97204478194956, -117.32325393783239",33.97204478,-117.3232539,,Classroom
Plaza Apts,Building,"33.97836215073212, -117.33382881596921",33.97836215,-117.3338288,UPLAZ,Classroom
UCR Police Department,Building,"33.97895805534183, -117.33095055497878",33.97895806,-117.3309506,POLCE,Classroom
Psychology Building,Building,"33.97067490842101, -117.32754172732902",33.97067491,-117.3275417,PSYCH,Classroom
Purchasing Dept.,Building,"33.9803528960616, -117.32362409726042",33.9803529,-117.3236241,,Classroom
R Garden,Building,"33.97123352693859, -117.33475526242559",33.97123353,-117.3347553,,Classroom
Tomas Rivera Library,Building,"33.972639768272145, -117.32796369150796",33.97263977,-117.3279637,RIVL,Classroom
SOM Education Building 1,Building,"33.97379231647555, -117.32399064424843",33.97379232,-117.3239906,SOMED,Classroom
,Building,"33.97054175483176, -117.32549845770143",33.97054175,-117.3254985,,Classroom
Student First Credit Union,Building,"33.97748649672321, -117.3383948912393",33.9774865,-117.3383949,,Classroom
Skye Hall,Building,"33.975239306855336, -117.32888318580108",33.97523931,-117.3288832,SKYE,Classroom
Science Laboratories 1,Building,"33.97392970104085, -117.32624965588096",33.9739297,-117.3262497,,Classroom
Spieth Hall,Building,"33.972820603366415, -117.32661170863315",33.9728206,-117.3266117,SPTH,Classroom
Sproul Hall,Building,"33.9727666972629, -117.32976088278475",33.9727667,-117.3297609,SPR,Classroom
Stonehaven Apts,Building,"33.98401705816052, -117.33192029136661",33.98401706,-117.3319203,STONE,Classroom
Student Recreation Center (SRC),Building,"33.978849196942846, -117.32867026203184",33.9788492,-117.3286703,SRC,Classroom
Student Services,Building,"33.97418943152255, -117.3296616457763",33.97418943,-117.3296616,SSB,Classroom
Student Success Center,Building,"33.974240795486644, -117.33055645441183",33.9742408,-117.3305565,SSC,Classroom
UCR Baseball Complex,Building,"33.982246250628116, -117.33410431264535",33.98224625,-117.3341043,,Classroom
UCR Extension Center,Building,"33.97614548687842, -117.3394506447726",33.97614549,-117.3394506,UCREX,Classroom
University Lecture Hall (UNLH 1000),Building,"33.9756998339183, -117.3284236152146",33.97569983,-117.3284236,UNLH,Classroom
University Office Building,Building,"33.97173529927461, -117.32495073457868",33.9717353,-117.3249507,UOB,Classroom
University Theatre,Building,"33.971354256964325, -117.32887413320228",33.97135426,-117.3288741,HUMN 400,Classroom
University Village,Building,"33.97690120828535, -117.33759607202164",33.97690121,-117.3375961,UV,Classroom
University Village Theater,Building,"33.97701700559124, -117.33788866640315",33.97701701,-117.3378887,,Classroom
USDA Salinity Laboratory,Building,"33.973720225617484, -117.32160600880492",33.97372023,-117.321606,,Classroom
Watkins Hall,Building,"33.9725680619397, -117.32901772372882",33.97256806,-117.3290177,WAT,Classroom
Watkins 1000,Building,"33.97320211147757, -117.32893471740381",33.97320211,-117.3289347,,Classroom
Webber Hall,Building,"33.9735214310645, -117.32533148834403",33.97352143,-117.3253315,WEBHL,Classroom
Winston Chung Hall,Building,"33.97526522810885, -117.32593916879492",33.97526523,-117.3259392,CHUNG,Classroom
CHASS Interdisciplinary South,Building,"33.97479337253434, -117.33034995191372",33.97479337,-117.33035,INTS,Classroom
Lot 18,Housing Parking Lot,"33.9822371, -117.3299161",33.9822371,-117.3299161,,Parking Lot
Lot 26,Gold Parking Lot,"33.98161615596479, -117.33490839664547",33.98161616,-117.3349084,,Parking Lot
Lot 29,Visitor Parking Lot,"33.982409100567594, -117.32604512509826",33.9824091,-117.3260451,,Parking Lot
Lot 28,Visitor Parking Lot,"33.981343155816155, -117.32458325748696",33.98134316,-117.3245833,,Parking Lot
Lot 23,Blue Parking Lot,"33.9796119034574, -117.32404343620101",33.9796119,-117.3240434,,Parking Lot
Lot 21,Housing Parking Lot,"33.97902897072025, -117.3223711481379",33.97902897,-117.3223711,,Parking Lot
Lot 20 [EV Charging],Housing Parking Lot,"33.978966701968375, -117.32066162716055",33.9789667,-117.3206616,,Parking Lot
Lot 25,Gold Parking Lot,"33.978837407498496, -117.32910284792172",33.97883741,-117.3291028,,Parking Lot
Lot 24 [EV Charging],Blue Parking Lot,"33.97809861118095, -117.3305694047396",33.97809861,-117.3305694,,Parking Lot
Lot 60,Blue Parking Lot,"33.97661630769582, -117.33707759814634",33.97661631,-117.3370776,,Parking Lot
Lot 15 [EV Charging],Red Parking Lot,"33.976698307683115, -117.32429737283547",33.97669831,-117.3242974,,Parking Lot
