Name,Type,Coords,latitude,longitude,Short,Structure
Human Resources,Building,,33.97489815000000135,-117.32683389999999690,,Classroom
International Village Housing,Building,"33.97294913620225, -117.33694489046468",33.97294913999999721,-117.33694490000000599,INTVL,Classroom
Keen Hall,Building,"33.972816003045054, -117.32508580546335",33.97281600000000168,-117.32508579999999654,,Classroom
KUCR Radio,Building,"33.97948009314303, -117.32517009907656",33.97948009000000269,-117.32517009999999402,,Classroom
Life Sciences Building,Building,"33.97237077335236, -117.3265929018341",33.97237076999999772,-117.32659289999999430,LFSC,Classroom
Life Sciences 1500,Building,"33.973109745710026, -117.32691396228405",33.97310974999999900,-117.32691400000000215,LFSC 1500,Classroom
Lothian Residence Hall,Building,"33.97579667028721, -117.32248751519235",33.97579667000000114,-117.32248749999999404,LOTH,Classroom
Mail Room,Building,"33.98079845229049, -117.32373916974356",33.98079845000000176,-117.32373920000000567,,Classroom
Materials Science & Engineering,Building,"33.97620835803847, -117.32824251868023",33.97620836000000111,-117.32824250000000177,MSE,Classroom
Multidisciplinary Research Building 1 (MRB 1),Building,"33.976900571406375, -117.32809678650871",33.97690056999999797,-117.32809679999999730,MRB,Classroom
North District A & B,Building,"33.97945658667398, -117.32665943951223",33.97945658999999807,-117.32665939999999694,,Classroom
Oban Apartments,Building,"33.97872425920123, -117.33263298504016",33.97872425999999990,-117.33263300000000129,OBANO,Classroom
Olmsted Hall 1,Building,"33.971301895126615, -117.32791754003702",33.97130190000000027,-117.32791749999999809,OLMH,Classroom
Orbach Library (Science Library),Building,"33.97450792556541, -117.32437607121261",33.97450793000000147,-117.32437609999999495,ORBLI,Classroom
Parking Services,Building,"33.97948066172021, -117.32209966682538",33.97948066000000011,-117.32209969999999544,PARKS,Classroom
Pentland Hills Residence Hall,Building,"33.97784608858001, -117.32237767995885",33.97784608999999989,-117.32237770000000410,PENTQ,Classroom
Department of Physics and Astronomy,Building,"33.97450908721065, -117.32541173356168",33.97450908999999797,-117.32541170000000363,PHY,Classroom
Physics 2000,Building,"33.974089991161456, -117.32484473702726",33.97408999000000307,-117.32484469999999988,PHY2K,Classroom
Pierce Hall,Building,"33.97405410801046, -117.32740195634089",33.97405410999999731,-117.32740200000000641,PRCE,Classroom
Plant Research 1,Building,"33.97204478194956, -117.32325393783239",33.97204477999999739,-117.32325389999999743,,Classroom
Plaza Apts,Building,"33.97836215073212, -117.33382881596921",33.97836215000000237,-117.33382880000000625,UPLAZ,Classroom
UCR Police Department,Building,"33.97895805534183, -117.33095055497878",33.97895805999999652,-117.33095059999999421,POLCE,Classroom
Psychology Building,Building,"33.97067490842101, -117.32754172732902",33.97067490999999961,-117.32754169999999760,PSYCH,Classroom
